Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
LY75	1.204	1.146	1.415	1.230	1.041	1.114	1.176	1.380	1.230	1.255	1.176	0.602	1.041	0.954	1.000	1.114	0.954	0.903	0.778	1.279	1.415	1.079	1.176	1.301	1.255	1.204	1.146	0.778	0.954	1.176	1.342	0.699	1.322	1.000	0.845	1.079	1.079	0.954	0.954	1.041	1.230	1.176	1.114	1.146	
LYVE1	0.477	0.477	0.602	0.000	0.477	0.778	0.699	0.477	0.699		0.778	0.778	0.301	0.301	0.602	0.602	0.477	0.477	0.477	0.602	0.301	0.477	0.778	0.778	0.602	0.477	0.301	0.477		0.477	0.477	0.477	0.000	0.477	0.699	0.301	0.000	0.477	0.000	0.301	0.477	0.602	0.903	0.602	
M6PR	1.114	1.114	1.230	1.477	1.176	1.176	1.415	1.580	1.301	1.362	1.146	1.491	1.279	1.114	1.398	1.114	1.556	1.255	1.041	1.255	1.114	0.954	1.380	1.342	1.146	1.114	1.301	0.954	1.322	1.146	1.322	1.041	1.146	1.279	1.380	1.230	1.114	0.903	1.000	1.415	1.681	1.255	1.176	1.568	
MAN2B1	0.903	0.602	1.176	1.000	1.114	0.477	0.602	0.954	1.230	1.146	1.146	0.903	0.845	1.380	0.602	1.342	1.146	1.000	0.699	1.279	1.342	0.903	1.041	1.114	1.000	1.204	0.602	0.699	0.301	1.041	0.778	0.602	1.230	0.699	0.778	1.114	0.903	0.954	0.778	0.954	0.954	1.230	1.079	1.079	
MAN2B2	1.079	1.146	0.903	0.954	1.000	0.778	1.146	0.954	1.000	0.903	0.903	1.041	0.845	1.146	1.000	1.176	0.845	0.903	0.778	1.230	1.000	1.000	1.041	0.903	0.903	0.778	1.041	0.845	0.301	1.000	1.079	0.602	0.845	1.041	0.954	1.114	1.079	0.903	0.477	1.114	0.778	0.699	0.845	0.954	
MANBA										0.301											0.477										0.301													0.301	
MCAM	0.000	0.477	0.699	0.778	0.477	0.778	0.778	0.477	0.000	0.699	0.477	0.778	0.778	0.778	0.699	0.778	0.778	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.477	0.477	0.602	0.602	0.477	0.477	0.699	0.699	0.699	0.699	0.778	
MDH1					0.000																	0.301																	0.301				0.000		
MDH2	0.477	1.000		0.477	1.176	1.079	0.845	0.477	0.602			0.301			0.477		0.000	1.114	0.954	0.602	0.000	0.778	0.699				0.000	0.778	0.602	1.255	1.255			0.954		1.204	0.778	0.903	1.079	0.301	0.602		1.279	1.114	
MEGF8	0.778	0.778	0.477	0.778	0.699		0.699	0.778	0.602	0.778	0.477	0.000	0.699	0.477	0.602	0.778	0.602	0.845	0.778	0.477	0.778	0.301	0.301	0.301	0.477	0.000	0.602	0.699	0.000	0.778	0.778	0.477	0.301	0.845	0.778	0.778	0.778	0.845	0.477	0.699	0.000	0.301	0.477	0.301	
MET				0.301						0.477				0.301		0.477	0.477				0.477		0.000				0.477			0.000											0.477				
MFAP4	1.114	1.415	1.176	1.146	1.176	1.531	1.322	1.114	1.398	1.079	1.176	1.230	1.079	1.079	1.114	1.041	1.556	1.176	1.146	1.079	1.079	1.146	1.255	1.431	1.079	0.954	1.079	1.176	1.146	1.146	1.079	1.079	1.114	1.204	1.079	1.079	1.079	1.079	1.079	1.041	1.301	1.279	1.204	1.079	
MFAP5			0.477			0.301	0.301							0.602			0.000				0.602							0.477													0.000	0.699		0.000	
MFGE8	0.301	0.477	0.602	0.778	0.301	0.845	0.954	0.778	0.778	0.845	0.778	0.778	0.954	0.845	0.903	0.845	0.954	0.602	0.602	0.778	0.845	0.602	0.954	0.903	0.778	0.477	1.000	0.602	0.903	0.477	0.778	0.000	0.778	0.301	0.699	0.477	0.477	0.477		0.845	0.778	0.301	0.477	0.778	
MIA3	0.477	0.477	0.301	0.903	0.602	0.699	0.903	0.699	0.602	0.699	0.699	0.000	0.477	0.699	0.903	0.903	0.477	0.602	0.477	0.778	0.903	0.477	0.000	0.477	0.602	0.301	0.602			0.602	0.602	0.000	0.602	0.845	0.602	0.477	0.477	0.699		0.699	0.699	0.301	0.301	0.778	
MIF		0.000			0.301	0.000												0.000	0.301										0.000	0.000	0.477					0.301	0.699		0.602		0.000		0.778	0.301	
MINPP1		0.477	0.699	0.699		0.301	0.301	0.699	0.778	0.845	0.477	0.778	0.477	0.778	0.699	0.699	0.699			0.954	0.778	0.477	0.778	0.845	0.699	0.699	0.778				0.477		0.778	0.778	0.301			0.000	0.477	0.477	0.845	0.477	0.778	0.845	
MME	0.477	0.477	0.301	0.903	0.845	0.301	0.699	0.778	0.301	0.778	0.477	0.778	0.699	0.778	0.699	0.845	0.954	0.778	0.477	0.602	0.699	0.301	0.954	0.000		0.301	0.301		0.477	0.602	0.699	0.301		0.477	0.778	0.602	0.301	0.000		0.778	0.903			1.176	
MMP23B	0.000	0.778	0.000		0.301	0.477	0.699	0.477	0.477	0.602		0.477	0.699	0.477	0.602	0.477	0.602	0.602	0.477	0.602	0.602	0.000	0.477	0.477		0.000	0.000	0.301	0.602	0.477				0.477	0.477	0.301	0.477	0.477		0.477	0.477	0.000	0.000	0.477	
MMRN1	0.699	0.602	0.699	1.380	1.000	0.699	0.699	1.724	1.255	0.903	0.301	1.230	0.602	0.778	0.000	1.556	1.000	0.954	0.301	0.301	0.699	0.301	1.041	0.954	0.602	0.602	0.778		1.176	0.301	1.255	0.301	0.000	0.903	0.903	0.699	0.699	0.699		0.477	0.477	1.322	0.778	0.699	
MMRN2	1.146	1.079	0.699	1.279	1.176	1.230	1.079	1.146	1.204	1.279	1.255	1.114	1.146	1.114	1.041	1.146	1.000	0.778	0.954	1.146	1.114	1.041	1.176	1.230	1.279	1.000	1.114	1.079	0.845	1.176	1.146	1.079	0.903	1.255	1.000	1.176	1.079	1.079	1.176	1.146	1.114	1.146	1.176	1.255	
MOGS	0.477		0.477	0.845	0.477		0.477	0.778	0.301	0.602		0.778	0.000		0.477		0.845		0.477	0.602			0.699	0.301		0.301	0.301	0.477		0.000	0.477	0.477		0.602	0.477	0.000	0.477			0.477	0.602			0.477	
MOXD1				0.903										0.000	0.301	0.000				0.000			0.000																						
MPO	1.000	0.954	1.380	1.255	0.699	1.114	1.362	1.415	1.398	1.041	1.415	1.000	1.176	1.176	1.204	1.380	1.342	0.778	1.041	0.954	1.301	1.230	1.146	1.431	1.380	1.301	0.903	0.778	1.322	0.845	1.204	0.954	1.000	1.176	1.000	0.477	1.146	0.903	0.699	1.079	1.114	1.255	0.903	1.114	
MPZL1	0.602	0.778	0.778	0.699	0.903	0.477	0.845	0.699	0.845	0.778	0.301	0.845	0.477	0.778	0.699	0.778	0.778	0.699	0.000	0.778	0.602	0.602	0.845	0.699	0.301	0.477	0.845	0.477	0.477	0.602	0.699	0.000	0.699	0.477	0.477	0.699	0.903	0.000	0.778	0.602	0.845	0.778	0.699	0.903	
MPZL2	0.477	0.602	0.477	0.778	0.477	0.301	0.477	1.041	0.602	0.699	0.477	0.602	0.477	0.602	0.477	0.845	0.903	0.477	0.477	0.477	0.954	0.477	0.477	0.477	0.477	0.301	0.477	0.477		0.699	0.602	0.477	0.301	0.699	0.477	0.477	0.477	0.477	0.477	0.301	0.699	0.477	0.477	0.477	
MRC1	0.301	0.602	0.699		0.602	0.954	1.000	0.477	0.602			0.477		0.301	0.477	0.000	0.602	0.000	0.301		0.301	0.301	0.000	1.114	0.301	0.000	0.699			0.000	0.301	0.301	0.477	0.845	1.146	0.477	0.699		0.000	0.699		0.602	0.699	0.778	
MRC2	0.778	0.845	1.204	1.146	0.954	1.230	1.255	1.519	1.176	1.398	1.079	1.556	1.204	1.431	1.279	1.380	1.591	1.176	0.778	1.279	1.301	0.602	1.342	1.114	0.954	1.255	1.041	0.903	0.903	1.000	0.954	0.778	1.230	1.230	0.903	0.778	0.778	1.041	0.602	1.279	1.477	1.204	1.342	1.301	
MSLN	1.362	1.362	1.415	1.431	1.279	1.398	1.477	1.398	1.398	1.447	1.362	1.380	1.415	1.477	1.322	1.505	1.462	1.362	1.301	1.505	1.519	1.380	1.398	1.431	1.447	1.176	1.672	1.114	1.279	1.301	1.255	1.255	1.477	1.176	1.279	1.462	1.380	1.230	1.176	1.415	1.602	1.342	1.279	1.255	
MSN		0.000			0.477	0.301	0.000											0.699	0.000			0.477						0.000	0.602	0.000	0.778	0.301				0.778	0.845	0.602	0.301				1.176	0.301	
MSR1	1.041	1.114	1.000	1.079	1.230	0.699	0.602	0.954	0.954	0.699	0.477	1.079	0.477	1.114	0.602	1.146	0.903	1.041	0.602	1.041	0.778	1.000	1.176	0.903	0.301	0.477	0.602	1.146	0.000	1.176	0.845	1.000	0.602	0.477	1.000	1.000	1.176	0.954	0.699	0.000	0.954	0.602	0.699	0.954	
MST1	0.477		0.477	0.477	0.301	0.699	0.477	0.477	0.699	0.477	0.477	0.778	0.602	0.477	0.845	0.301	0.477	0.477	0.602	0.699	0.477		0.477	0.699	0.778	0.477	0.477	0.477	0.602	0.477	0.477		0.602	0.602	0.477	0.477	0.778		0.000	0.699	0.778	0.477	0.000	0.778	
MUC1	0.903	0.845	1.079	1.380	0.954	1.322	1.000	1.477	1.146	1.204	1.255	1.462	0.845	0.903	1.255	1.415	1.591	0.845	1.000	1.431	1.041	0.477	1.505	1.342	1.380	1.000	1.255	0.699	0.845	0.954	1.000	0.845	1.176	1.146	0.845	1.146	1.041	1.000	0.778	1.301	1.342	1.079	1.114	1.362	
MUC16	1.813	1.732	1.748	2.312	1.869	1.949	1.857	1.944	1.959	1.898	1.580	1.839	1.857	1.978	1.806	1.892	1.940	1.580	1.813	2.021	1.851	1.806	1.826	1.973	1.851	1.699	1.924	1.556	1.724	1.778	1.954	1.716	1.771	1.748	1.716	1.663	1.851	1.756	1.591	1.924	1.919	1.681	1.869	1.934	
MUC2										0.954							1.279		1.477				0.477																						
MUC4		0.903							0.301				0.000								0.699						0.301											1.491							
MUC5B	1.447			0.000		0.000			0.301									0.477				0.000		1.580	1.279		1.114		0.778		0.699		0.301		0.845		0.000								
MX1																																				0.000		0.477						0.000	
MXRA5	1.041	1.279	1.505	1.477	1.230	1.491	1.556	1.633	1.431	1.591	1.204	1.663	1.505	1.531	1.519	1.519	1.672	1.301	1.204	1.447	1.114	1.114	1.708	1.415	1.114	1.519	1.322	1.477	1.544	1.279	1.301	1.079	1.204	1.255	1.380	1.431	1.230	1.462	1.114	1.431	1.643	1.301	1.556	1.602	
MYH9	0.477	0.845			1.301	1.531	0.301					0.000			0.000			1.255	0.000			1.447					0.000	0.000	1.362	1.114	1.204	0.000		0.903		1.301	1.176	1.491	1.279	0.602	0.301		1.857	1.079	
MYL12A		0.301			0.301	0.000												0.477				0.000							0.477	0.000	0.301			0.301		0.000			0.477				1.000	0.000	
MYL6		0.301			0.301	1.000												0.301				0.699							0.903		0.845					0.602	0.000	0.000	0.602	0.301			1.114		
NAALADL2	0.301		0.602	1.000	0.477	0.301	0.301	0.699	0.301	0.699	0.477	0.699	0.602	0.699	0.903	0.845	0.602	0.477	0.301	0.477	1.000		0.699	0.602	0.602	0.301	0.602	0.477	0.000	0.000	0.477	0.000	0.301	0.903	0.301	0.301	0.301	0.000	0.602	0.301	0.778	0.602	0.477	0.602	
NAGA	0.477	0.477	1.114	0.845	0.602	0.845	1.146	0.845	1.176	0.845	0.954	0.778	0.778	0.954	1.000	1.000	1.079	0.477	0.477	1.176	1.079	0.301	0.954	1.114	0.845	0.845	1.176	0.000	0.699	0.477	0.954	0.301	1.114	0.778	0.699	0.699	0.699	0.699	0.000	1.114	1.176	0.699	1.114	1.204	
NAGLU	0.000	0.477	0.477	0.301	0.477	0.477	0.301		0.477	0.477	0.477	0.301	0.000	0.699		0.477	0.000	0.602		0.477	0.845	0.000	0.477	0.301	0.477	0.477	0.477	0.477			0.000		0.477	0.602		0.301	0.301	0.477	0.477	0.477		0.477	0.301	0.477	
NBL1			0.301							0.477			0.301	0.000						0.000	0.000			0.000	0.000		0.000	0.000														0.000			
NCEH1	1.079	0.954	0.699	1.146	1.204	1.079	1.279	1.114	0.903	1.000	0.845	1.000	0.903	1.041	1.176	1.000	1.041	0.778	1.041	1.176	0.903	0.699	1.230	0.845	0.699	0.954	1.114	0.903	0.903	0.845	0.954	0.954	0.778	0.602	1.000	1.146	1.204	0.954	0.778	1.041	1.041	0.845	0.954	1.204	
NCL	0.301	0.602	0.000	0.602	1.114	1.079	0.301	0.602	0.477	0.000	0.602	0.699			0.301	0.301	0.477	1.322		0.477		1.114	0.477	0.000	0.477	0.301	0.000	0.699	1.000	1.176	1.176		0.477	1.041	0.699	1.041	1.255	0.845	0.000	0.602	0.602	0.301	1.176	1.041	
NCSTN	1.462	1.556	1.531	1.763	1.556	1.531	1.643	1.623	1.447	1.643	1.380	1.447	1.568	1.544	1.613	1.633	1.556	1.580	1.580	1.699	1.398	1.176	1.415	1.431	1.415	1.230	1.519	1.613	1.342	1.519	1.591	1.279	1.491	1.531	1.556	1.716	1.580	1.580	1.176	1.544	1.580	1.322	1.462	1.663	
NEB		0.000					0.000					0.000			0.000								0.000		0.000			0.000													0.000				
NECTIN3				0.903			0.000	0.301		0.000		0.000				0.000	0.301	0.000		0.699					0.000									0.778											
NEMP1	0.477	0.602	0.000	0.000	0.000		0.903	0.000	0.301	0.477	0.000		0.000				0.000	0.301	0.301	0.477				0.477			0.000	0.477		0.000		0.000	0.301	0.000	0.301	0.845	0.778	0.301	0.778	0.301			0.477	0.778	
NEO1	0.301		0.778	1.000	0.477	0.602	1.146	0.845	0.954	0.301	0.845	0.845	0.301	0.845	0.477	0.778	0.954	0.000	0.602	0.778	0.477	0.000	0.903	0.602	0.301	0.000	0.301	0.301		0.000	0.301		0.778	1.000	0.903	0.301	0.845	0.778	0.602	1.079	0.778	0.602	0.000	1.279	
NEU1	0.000			0.602	0.000			0.301	0.301	0.000	0.477	0.301		0.699			0.602			0.477	0.301		0.000	0.477	0.477	0.301	0.477									0.301	0.301	0.000			0.477		0.477	0.301	
NFASC		0.000												0.301							0.301		0.845				0.301				0.000			0.000		0.477	0.301								
NID2	1.041	1.176	1.255	1.146	1.041	1.255	1.230	1.176	1.301	1.176	1.230	1.279	1.000	1.255	1.322	1.279	1.204	1.176	0.954	1.230	1.176	0.845	1.322	1.146	1.279	1.176	1.477	1.279	1.114	1.041	1.114	0.845	1.301	1.204	0.845	1.000	1.041	1.362	1.000	1.114	1.230	1.301	1.322	1.255	
NME2	0.477	0.903			0.845	0.699												0.954	0.602			1.079						0.301	0.000	0.954	1.041	0.778		0.778	0.000	0.903	0.778	0.699	0.699	0.778	0.000		1.146	0.602	
NOMO1	1.380	1.255	1.079	1.204	1.362	0.954	1.279	1.301	1.176	1.279	1.114	1.114	1.114	1.322	1.146	1.230	1.114	1.230	1.255	1.079	1.079	1.000	1.255	1.041	0.954	0.903	1.255	1.041	0.954	1.279	1.255	1.176	1.114	1.204	1.301	1.301	1.255	1.204	1.000	1.230	1.146	1.000	1.079	1.322	
NONO	0.000																	0.000				0.477							0.301		0.301			0.602		0.301	0.301	0.301					0.000	0.000	
NPC1	0.000		0.699	0.301	0.602	0.301	0.778	0.602		0.000	0.602	0.000	0.000		0.301	0.602	0.602	0.301		0.477		0.000	0.845			0.477	0.000	0.602			0.000		0.000			0.301		0.000		0.301	0.477	0.000	0.301	0.778	
NPC2	0.778	0.000	1.041	1.771	0.954	1.114	1.301	1.380	1.230	1.000	1.431	1.000	1.041	0.778	1.255	1.041	1.255	0.903	0.954	1.477	0.845	0.477	1.380	1.447	1.462	0.954	1.362	0.477	0.845	1.079	0.954	0.000	1.580	1.176	0.845	0.954	0.954	0.699	0.699	0.845	1.322	1.176	1.114	1.255	
NPM1	0.845	1.000			0.954	1.000	0.000	0.000				0.000				0.000	0.000	0.954	0.301		0.477	0.903						0.602	0.845	0.954	1.041	0.845		0.778	0.602	1.000	0.954	0.845	0.477	0.699	0.477		0.778	1.000	
NPR1	0.602	0.778	0.845	0.778	0.903	0.903	0.954	0.845	0.903	0.477	0.477	0.477	0.778	0.845	0.699	0.778	1.255	0.845	0.477	1.000	0.845		1.000	1.000	0.477	0.301	0.845	0.778	0.699	0.778	0.778	0.699		0.699	0.602	0.778	0.845	1.079	0.602	0.845	0.778	0.477	0.903	1.000	
NPTN	1.114	0.699	1.176	1.556	1.176	1.204	1.380	1.477	1.322	1.230	1.204	1.301	1.398	1.398	1.230	1.322	1.477	1.041	1.176	1.176	1.322	1.000	1.380	1.230	1.000	1.114	1.114	1.000	1.000	1.079	1.230	1.000	1.146	1.462	1.114	1.176	1.230	0.954	0.699	1.230	1.462	0.903	1.041	1.447	
NRCAM	1.114	0.845	1.041	1.568	1.176	0.903	1.146	1.041	1.079	1.230	0.903	1.114	1.204	1.041	1.279	1.079	1.398	0.954	0.778	1.079	0.903	0.845	1.114	0.903	0.477	0.000	1.431	1.176	0.778	1.204	0.778	0.000	1.041	1.279	0.845	1.000	1.041	0.778	0.778	1.279	1.415	0.602	0.000	1.301	
NRP1	0.477	0.477	0.845	0.477	0.477	0.602	0.602	0.778	0.778	0.699	0.903	0.699	0.699	0.602	0.301	0.699	0.778	0.602	0.477	0.778	0.477	0.477	1.000	0.699	0.903	0.778	0.602	0.477	0.301	0.477	0.602		0.778	0.699	0.602	0.699	0.699	0.602	0.477	0.602	0.699	0.778	0.845	0.845	
NT5E	0.301	0.778	0.845	1.041	1.041	0.845	1.146	1.079	0.903	1.000	0.477	1.230	0.954	0.954	1.146	1.255	1.114	0.778	0.845	1.114	1.041	0.903	1.279	0.845	0.699	0.778	0.845	0.903	0.903	1.041	0.778	0.477	0.602	1.000	0.845	0.903	0.602	1.079	0.954	1.041	1.176	0.699	1.079	1.000	
NTM			0.000			0.000				0.301			0.477	0.477		0.301							0.477	0.000				0.477		0.301				0.000		0.301		0.000		0.000	0.000		0.699		
NTRK2																		0.477																										0.301	
NUP210	1.431	1.491	1.505	1.690	1.643	1.556	1.653	1.531	1.519	1.602	1.342	1.699	1.462	1.519	1.690	1.462	1.568	1.531	1.362	1.602	1.301	1.079	1.724	1.462	1.447	1.447	1.623	1.431	1.415	1.431	1.531	1.301	1.602	1.519	1.568	1.544	1.602	1.505	1.362	1.447	1.663	1.362	1.519	1.633	
OGN	0.778	0.699	0.602	0.954	0.477	1.431	1.279	1.000	1.301	0.602	0.778	1.230	0.954	0.845	1.146	0.602	1.279	0.477	0.477	1.255	0.954	0.477	1.447	1.204	0.845	0.903	1.114	0.477	0.699	0.477	0.477	0.477	1.146	0.778	0.477	0.477	0.477	0.000	0.477	0.903	1.415	1.380	1.204	1.204	
OLFM4	0.000	0.477	0.903	0.699	0.477	0.477	0.954	0.954	0.903	0.477	0.845	0.477	0.954	0.477	0.699	0.699	1.000	0.845	0.301	0.301			1.041	1.146	1.000	0.602	0.602	0.000	1.398	0.000	0.778		1.176	0.699	0.000	0.301	0.477	0.477		0.778	0.699	1.000		0.301	
OLFML1	0.845	0.778	0.903	0.778	0.477	1.079	1.176	0.778	0.602	0.954	0.778	0.845	1.000	1.079	0.954	1.079	0.845	0.699	0.778	0.954	1.079	0.778	0.778	0.954	0.954	0.699	1.000	0.301	0.602	0.778	0.778	0.602	1.000	0.845	0.699	0.602	0.602	0.778	0.301	1.041	1.000	0.954	0.954	0.845	
OLFML2B										0.000					0.000		0.602			0.000			0.301			0.000																	0.477		
ORM1	1.898	1.903	1.944	2.086	1.881	2.086	2.134	2.049	2.049	1.886	2.076	2.225	2.076	2.009	2.134	2.079	2.079	1.964	1.968	2.114	1.919	1.748	1.996	2.238	2.025	1.845	2.017	1.959	2.130	1.857	1.940	1.898	1.973	2.093	2.009	1.813	2.013	1.813	1.813	2.029	2.204	1.929	2.021	2.053	
ORM2	1.792	1.799	1.845	1.973	1.799	2.029	2.037	1.908	1.964	1.799	1.954	2.117	1.940	1.914	2.013	1.973	1.978	1.869	1.863	2.000	1.826	1.580	1.863	2.111	1.934	1.756	1.949	1.892	1.959	1.771	1.875	1.792	1.833	2.025	1.914	1.716	1.833	1.708	1.672	1.954	2.107	1.799	1.940	1.940	
OSMR				0.477	0.000		0.477	0.845		0.000			0.301	0.000		0.602				0.903	0.000	0.000	1.079			0.477					0.301	0.000			0.000	0.477	0.477	0.000			0.000		0.602		
OSTM1	0.000	0.000	0.000	0.602		0.477	0.602	0.845	0.301	0.778	0.477	0.954	0.477	0.301	0.000	0.301	1.146	0.301	0.602	0.301	0.000		0.778	0.778		0.477	0.602	0.477	0.000		0.000	0.000	0.477	0.000		0.301	0.000			0.000	0.699	0.301	0.699	1.000	
OVGP1	0.477	0.477			0.301		0.000		1.322	0.301						0.301	0.000	0.301	0.477		1.580		0.301			0.000		0.000	0.000			0.477		0.778				0.477	0.477	0.000		1.255			
P2RX4	1.041	0.903	1.000	1.114	1.079	1.000	1.000	1.041	1.000	0.954	0.602	0.954	0.954	0.954	0.903	0.954	1.041	1.000	0.954	1.041	0.954	1.000	0.954	0.903	0.954	0.778	1.000	0.954	0.903	1.000	1.079	0.903	1.079	1.041	0.903	1.000	0.903	1.041	0.954	0.903	0.954	0.778	0.903	0.903	
P2RX7	1.079	0.699	0.301	0.301	0.903	0.477	1.000		0.477	0.699		0.602	0.845		0.477	0.477		0.699	0.778	0.477	0.602	0.699	0.301	0.699			1.041	0.778	0.301	0.845	0.845	0.778	0.845	0.477	0.845	1.000	0.699	0.903	0.477	0.602	0.000	0.301		1.000	
P3H1	0.778	0.954	0.778	0.954	0.903	0.954	1.000	1.041	0.954	1.176	0.477	1.114	1.041	0.954	0.903	1.041	1.041	1.000	0.845	0.778	0.602	0.477	1.114	0.778	0.477	0.778	1.000	0.845	0.845	1.079	1.079	0.778	0.602	1.204	1.114	0.845	0.903	1.079	0.845	1.041	1.114	0.477	1.000	1.230	
P3H4	0.903	0.954	1.176	0.954	0.903	0.778	0.954	1.000	0.699	1.146	0.602	1.079	0.845	1.114	0.778	1.114	1.204	0.954	0.778	0.602	0.602	0.845	1.041	0.845	0.778	0.778	0.845	0.845	0.845	0.903	0.845	0.477	0.845	1.041	0.954	0.954	0.903	0.903	0.301	1.079	1.079	0.301	0.845	1.000	
P4HA1	0.954	1.114	0.954	0.954	1.000	0.699	0.903	0.954	0.778	1.041	0.845	0.778	0.845	1.079	0.903	1.114	1.041	1.146	0.903	0.778	1.079	1.000	1.000	0.778	0.954	0.903	0.903	1.041	0.845	1.114	1.000	1.000	0.778	1.146	1.114	0.954	1.041	1.000	0.903	0.699	1.041	0.778	0.845	1.041	
P4HA2	0.699	0.903	0.778	0.903	0.699	1.041	1.079	1.000	0.903	0.903	0.602	0.954	0.954	0.903	0.903	0.845	0.903	0.903	0.699	0.903	0.699	0.000	1.041	0.903	0.699	0.778	0.903	0.301	1.000	0.903	0.954		0.602	0.954	0.954	0.699	0.778	0.954		0.954	1.000	0.602	0.903	1.041	
P4HB	0.301	0.477			0.000	1.000	0.000											0.699	0.000			1.279						0.000	0.699		0.954	0.301		0.699		0.778	0.301	0.301	0.602				1.279	0.301	
PAMR1						0.301	0.477			0.954			0.477	0.000	0.699	0.477								0.000			0.000		0.000									0.000				0.301			
PARK7							0.301											0.000				0.301							0.000		0.477			0.301			0.000	0.000		0.301			0.602		
PCBP1																													0.301					0.699		0.301									
PCDH1	0.477	0.699	0.477	0.903	0.778	0.778	0.845	1.000	0.778	0.699	0.000	0.778	0.000	0.903	0.699	0.845	0.845	0.699	0.602	0.778	1.114	0.000	0.778	0.778	0.845		0.903	0.602	0.477	0.954	0.845	0.477	0.477	0.778	0.778	0.699	0.845	0.954	0.699	1.041	0.845	0.477	0.602	0.845	
PCDH19				0.699				0.301		0.477	0.477	0.000	0.477		0.000	0.000	0.778			0.000			0.845				0.301			0.000				0.000	0.477		0.301	0.000	0.778						
PCDH7			0.602	0.602				0.778	0.477			0.301	0.301				0.699	0.000		0.699			0.477	0.000	0.301	0.477	0.903															0.000		0.699	
PCYOX1	1.041	0.903	1.000	1.204	1.146	1.041	1.398	1.255	1.362	1.146	1.041	1.079	1.079	1.447	1.255	1.230	1.114	1.000	0.699	1.633	1.176	1.041	1.114	1.322	1.041	1.041	1.362	1.114	0.903	1.000	0.778	0.903	1.255	1.176	1.176	1.000	1.079	0.845	0.954	1.146	1.279	1.000	1.301	1.279	
PDGFC		0.301		0.000	0.000		0.301			0.699	0.477	0.301			0.477	0.301	0.000	0.699	0.000				0.000	0.000			0.000		0.000	0.602	0.000			0.602	0.301	0.301		0.000		0.000					
PDGFRB			0.000			0.301	0.000	0.301				0.477	0.000		0.000		0.778			0.000			0.903																	0.000	0.778		0.301	0.301	
PDIA3	0.000	1.041	0.477	0.000	1.000	1.342	0.602	0.477		0.477	0.301	0.477	0.301	0.477		0.000	0.477	1.415	0.477	0.301	0.301	1.146	0.602		0.301	0.699	0.301		0.845	0.903	1.279		0.845	1.491		1.279	1.255	0.903	1.146	0.778	0.477	0.699	1.556	1.204	
PDIA4		0.000			0.477	0.301					0.000							0.000			0.301	0.000	0.477											1.176				0.000					0.301		
PDIA6					0.301	0.301					0.477							0.000				0.477												0.477		0.301							0.602		
PEBP1					0.477	0.000						0.000						0.301				0.477									0.477					0.000	0.000	0.301							
